Entity,Code,Date,"Excess mortality P-scores, ages 15–64","Excess mortality P-scores, ages 65–74","Excess mortality P-scores, ages 75–84","Excess mortality P-scores, ages 85+"
Sweden,SWE,2020-04-19,22.28,17.63,61.04,47.24
Sweden,SWE,2020-04-26,-3.74,25.09,43.51,41.43
Sweden,SWE,2020-05-03,16.06,19.59,44.86,41.2
Sweden,SWE,2020-05-10,-1.87,16.44,50.55,38.3
Sweden,SWE,2020-05-17,9.46,2.65,45.21,27.84
Sweden,SWE,2020-05-24,14.42,11.15,28.03,26.05
Sweden,SWE,2020-05-31,-4.87,2.44,5.86,10.86
Sweden,SWE,2020-06-07,11.31,-5.03,33.98,9.69
Sweden,SWE,2020-06-14,-16.48,12.5,28.6,10.44
Sweden,SWE,2020-06-21,4.51,-10.12,27.19,6.05
Sweden,SWE,2020-06-28,14.44,-17.21,8.62,14.5
Sweden,SWE,2020-07-05,-12.8,-8.82,10.99,-2.4
Sweden,SWE,2020-07-12,-3.72,-6.61,13.66,-3.96
Sweden,SWE,2020-07-19,-4.32,-4.94,-4.29,-2.53
Sweden,SWE,2020-07-26,-14.79,-3.54,-5.68,5.16
Sweden,SWE,2020-08-02,-4.34,-4.26,13.42,-10.73
Sweden,SWE,2020-08-09,-1.06,-13.7,13.29,3.88
Sweden,SWE,2020-08-16,-2.96,-4.52,11.48,-6.43
Sweden,SWE,2020-08-23,-5.7,-3,9.64,1.67
Sweden,SWE,2020-08-30,-10.91,-11.03,2.14,-9.09
Sweden,SWE,2020-09-06,3.53,-10.28,0.14,-4.73
Sweden,SWE,2020-09-13,-15.3,-9.16,4.97,0.09
Sweden,SWE,2020-09-20,-15.45,2.18,0.69,-5.19
Sweden,SWE,2020-09-27,-19.98,-12.43,9.76,-0.2
Sweden,SWE,2020-10-04,-14.24,-8.11,4.14,-8.35
Sweden,SWE,2020-10-11,-16.3,-15.97,6.15,-9.32
Sweden,SWE,2020-10-18,-9.84,0.07,4.74,-2.91
Sweden,SWE,2020-10-25,-16.58,-16.48,4.03,-5.56
Sweden,SWE,2020-11-01,-19.27,-6.18,11.89,-0.21
Sweden,SWE,2020-11-08,-10.48,-3.82,15.35,-4.8
Sweden,SWE,2020-11-15,-2.22,0.65,20.37,11.16
Sweden,SWE,2020-11-22,8.82,11.99,29.95,18.45
Sweden,SWE,2020-11-29,-12.02,-4.4,22.68,18.19
Sweden,SWE,2020-12-06,-20.02,13.85,27.47,27.8
Sweden,SWE,2020-12-13,16.52,3.48,30.27,22.33
Sweden,SWE,2020-12-20,-17.63,15.97,53.13,27.05
Sweden,SWE,2020-12-27,7.46,14.83,36.14,26.93
Sweden,SWE,2021-01-03,2.45,4.58,40.15,33.43
Sweden,SWE,2021-01-10,-15.35,-5.49,27.04,13.59
Switzerland,CHE,2020-01-05,-15.34,-2.78,-7.74,-13.31
Switzerland,CHE,2020-01-12,-6.13,-5.46,-6.59,-10.03
Switzerland,CHE,2020-01-19,-4.96,-9.5,-9.86,-3.56
Switzerland,CHE,2020-01-26,-7.03,13.02,-7.29,-4.07
Switzerland,CHE,2020-02-02,-8.98,-2.71,2.28,-4.62
Switzerland,CHE,2020-02-09,-3.7,2.56,-4.13,-13.73
Switzerland,CHE,2020-02-16,-10.8,-12.12,-5.99,-8.25
Switzerland,CHE,2020-02-23,2.76,-16.51,-11.13,-9.1
Switzerland,CHE,2020-03-01,-6.76,-15.69,-11.78,-11.21
Switzerland,CHE,2020-03-08,-10.47,-12.69,-2.39,-5.74
Switzerland,CHE,2020-03-15,-7.84,-7.84,4.37,1.67
Switzerland,CHE,2020-03-22,-2.09,7.95,28.39,12.23
Switzerland,CHE,2020-03-29,11.81,27.83,23.01,31.67
Switzerland,CHE,2020-04-05,6.22,34.68,43.15,58.01
Switzerland,CHE,2020-04-12,9.69,20.97,29.73,45.06
Switzerland,CHE,2020-04-19,4.01,11.29,27.29,40.48
Switzerland,CHE,2020-04-26,21.88,-2.04,3.99,23.32
Switzerland,CHE,2020-05-03,-18.03,-13.18,-7.02,16.83
Switzerland,CHE,2020-05-10,-3.52,-4.89,-2.11,0.54
Switzerland,CHE,2020-05-17,1.67,-14.37,3.37,-2.38
Switzerland,CHE,2020-05-24,-7.38,2.94,-5.17,1.02
Switzerland,CHE,2020-05-31,2.46,-20.43,-9.99,1.64
Switzerland,CHE,2020-06-07,-6.37,-7.56,-5.68,8.5
Switzerland,CHE,2020-06-14,-7.41,-0.68,4.52,1.37
Switzerland,CHE,2020-06-21,-2.17,-4.34,-7.4,1.36
Switzerland,CHE,2020-06-28,0.25,-1.23,2.29,-3.6
Switzerland,CHE,2020-07-05,-1.28,-4.55,-0.06,-1.49
Switzerland,CHE,2020-07-12,-2.6,-15.75,6.54,-0.98
Switzerland,CHE,2020-07-19,-20.73,-22.05,-2.81,-4.99
Switzerland,CHE,2020-07-26,0.79,-20.32,1.71,-2.92
Switzerland,CHE,2020-08-02,6.71,-4.01,3.78,15.57
Switzerland,CHE,2020-08-09,-2.3,-2.68,6.52,-2.43
Switzerland,CHE,2020-08-16,9.38,-15.26,9.04,8.61
Switzerland,CHE,2020-08-23,-10.18,-5.26,0.68,10.08
Switzerland,CHE,2020-08-30,-11.76,2.16,-5.2,5.91
Switzerland,CHE,2020-09-06,-11.48,-0.11,-1.32,1.8
Switzerland,CHE,2020-09-13,-3.68,1.43,2.37,10.41
Switzerland,CHE,2020-09-20,-26.56,-6.07,9.41,8.85
Switzerland,CHE,2020-09-27,5.6,-4.56,1,2.73
Switzerland,CHE,2020-10-04,-14.42,9.03,-1.65,-2.01
Switzerland,CHE,2020-10-11,7.71,-4.02,3.83,9.68
Switzerland,CHE,2020-10-18,-20.72,-10.36,-2.84,14.24
Switzerland,CHE,2020-10-25,6.44,4.97,11.28,28.79
Switzerland,CHE,2020-11-01,-11.07,6.8,30.93,54.08
Switzerland,CHE,2020-11-08,5.04,32.57,66.37,81.69
Switzerland,CHE,2020-11-15,2.59,30.41,67.96,88.93
Switzerland,CHE,2020-11-22,-8.43,37.19,78.4,80.3
Switzerland,CHE,2020-11-29,-12.97,43.89,50.51,73.51
Switzerland,CHE,2020-12-06,-0.86,18.07,42.9,81.2
Switzerland,CHE,2020-12-13,-0.37,4.19,50.46,62.43
Taiwan,TWN,2020-01-05,2.16,5.84,-2.33,10.77
Taiwan,TWN,2020-01-12,-1.99,15.97,-3.09,7.25
Taiwan,TWN,2020-01-19,-0.37,8.12,-5.15,4.66
Taiwan,TWN,2020-01-26,-1.38,10.78,-4.2,6.72
Taiwan,TWN,2020-02-02,-2.44,11.17,5.95,10.82
Taiwan,TWN,2020-02-09,-3.29,15.01,4.28,13.55
Taiwan,TWN,2020-02-16,-10.23,12.15,-1.87,7.39
Taiwan,TWN,2020-02-23,-6.38,-0.89,-9.13,10.47
Taiwan,TWN,2020-03-01,-8.26,11.36,0.69,-3.4
Taiwan,TWN,2020-03-08,-0.89,9.9,-4.65,4.46
Taiwan,TWN,2020-03-15,-14.03,0.7,-9.37,-7.06
Taiwan,TWN,2020-03-22,-8.16,5.13,0.51,8.44
Taiwan,TWN,2020-03-29,-12.87,2.71,-5.28,1.87
Taiwan,TWN,2020-04-05,-5.87,9.21,-8.26,0.44
Taiwan,TWN,2020-04-12,-4.32,19.76,-9.07,8.54
Taiwan,TWN,2020-04-19,4.38,10.73,5.34,17.18
Taiwan,TWN,2020-04-26,-6,10.42,-1.18,3.59
Taiwan,TWN,2020-05-03,3.82,12.62,-6.51,8.59
Taiwan,TWN,2020-05-10,4.54,15.22,3.6,4.76
Taiwan,TWN,2020-05-17,-6.75,5.97,-0.55,6.77
Taiwan,TWN,2020-05-24,-7.37,1.84,-5.23,-5.06
Taiwan,TWN,2020-05-31,-13.74,3.78,-5.98,8.35
Taiwan,TWN,2020-06-07,-1.06,4.83,-6.04,5.56
Taiwan,TWN,2020-06-14,-0.68,0.63,-3.93,1.08
Taiwan,TWN,2020-06-21,-13.09,5.47,-6.07,6.27
Taiwan,TWN,2020-06-28,-12.99,12.14,0.75,6.71
Taiwan,TWN,2020-07-05,-10.64,5.78,-3.53,4.11
Taiwan,TWN,2020-07-12,-14.08,5.91,-11.91,0.95
Taiwan,TWN,2020-07-19,-2.87,9.24,-7.36,4.61
Taiwan,TWN,2020-07-26,-15.2,6.68,-1.14,7.15
Taiwan,TWN,2020-08-02,-6.61,3.03,-6.33,-1.6
Taiwan,TWN,2020-08-09,-5.35,0.48,-12.33,-1.39
Taiwan,TWN,2020-08-16,-2.72,6.14,-4.08,-4.2
Taiwan,TWN,2020-08-23,-4.61,12.03,-4.52,3.04
Taiwan,TWN,2020-08-30,-10.51,4.17,-7.23,2.68
Taiwan,TWN,2020-09-06,-2.59,10.54,-9.58,2.59
Taiwan,TWN,2020-09-13,-8.29,7.69,-12.98,8.12
Taiwan,TWN,2020-09-20,-8.87,16.42,-10.65,8.55
Taiwan,TWN,2020-09-27,-5.14,10.89,-3.58,5.42
United States,USA,2020-01-05,1.52,2.35,0.89,-4.08
United States,USA,2020-01-12,1.24,3.63,0.86,-3.61
United States,USA,2020-01-19,2.87,3.12,0.05,-3.18
United States,USA,2020-01-26,3.12,5.23,2.69,-3.07
United States,USA,2020-02-02,1.52,5.35,2.04,-1.09
United States,USA,2020-02-09,3.27,4.9,4.06,-1.28
United States,USA,2020-02-16,2.26,5.56,4.17,-1.97
United States,USA,2020-02-23,4.31,6.46,5.33,0
United States,USA,2020-03-01,3.25,8.97,7.33,0.85
United States,USA,2020-03-08,4.2,9.29,7.76,0.89
United States,USA,2020-03-15,3.33,10.81,6.98,1.46
United States,USA,2020-03-22,6.44,11.78,10.74,0.68
United States,USA,2020-03-29,13.44,17.64,19.52,11.71
United States,USA,2020-04-05,28.38,39.44,37.4,27.73
United States,USA,2020-04-12,38.33,54.09,51.34,42.98
United States,USA,2020-04-19,32.67,49.44,50.2,47.36
United States,USA,2020-04-26,32.86,42.19,45.93,42.69
United States,USA,2020-05-03,24.5,38.36,34.57,32.49
United States,USA,2020-05-10,26.15,35.11,32.46,25.85
United States,USA,2020-05-17,23.71,30.78,27.35,24.03
United States,USA,2020-05-24,23.01,25.34,20.61,15.94
United States,USA,2020-05-31,17.65,25.08,19.81,12.18
United States,USA,2020-06-07,19.37,21.7,15.61,6.87
United States,USA,2020-06-14,18.76,22.02,14.79,6.13
United States,USA,2020-06-21,18.16,22.75,16.73,5.21
United States,USA,2020-06-28,19.53,22.76,17.64,7.73
United States,USA,2020-07-05,21.22,26.49,19.09,9.25
United States,USA,2020-07-12,28.86,34.42,22.97,11.05
United States,USA,2020-07-19,30.06,36.2,28.52,16.21
United States,USA,2020-07-26,30.41,41.09,33.52,17.35
United States,USA,2020-08-02,29.46,41.68,34.07,17.14
United States,USA,2020-08-09,27.91,38.43,33.15,15.33
United States,USA,2020-08-16,28.92,38.97,31.99,15.99
United States,USA,2020-08-23,25.01,37.3,29.85,15.76
United States,USA,2020-08-30,21.94,30.01,24.91,13.58
United States,USA,2020-09-06,19.22,29.13,22.43,10.34
United States,USA,2020-09-13,19.92,24.7,19.14,8.25
United States,USA,2020-09-20,16.34,26.46,19.58,8.7
United States,USA,2020-09-27,16.62,25.48,20.12,11.68
United States,USA,2020-10-04,10.89,21.9,16.11,5.86
United States,USA,2020-10-11,16.5,22.44,18.99,8.43
United States,USA,2020-10-18,9.92,18.6,14.88,5.01
United States,USA,2020-10-25,11.44,18.13,18,9.39
United States,USA,2020-11-01,11.11,23.29,18.64,9.91
United States,USA,2020-11-08,15.37,27.37,27.12,17.44
United States,USA,2020-11-15,15.7,28.74,28.34,17.94
United States,USA,2020-11-22,15.52,33.48,33.5,23.49
United States,USA,2020-11-29,15.33,34.8,33.24,26.42
United States,USA,2020-12-06,15.97,37.82,38.75,29.12
United States,USA,2020-12-13,17.5,37.23,42.51,35
